customer_id,signup_date,customer_segment,location,acquisition_channel,age,gender
C00114,04-05-2025,medium,Kolkata,referral,36,female
C00115,18-08-2024,low,Bhubaneswar,ads,58,female
C00116,10-02-2024,low,Mumbai,referral,47,male
C00117,28-01-2024,high,Mumbai,referral,46,female
C00118,14-05-2024,medium,Pune,organic,37,other
C00119,19-07-2024,medium,Chennai,organic,38,female
C00120,02-02-2024,low,Delhi,organic,18,male
C00121,17-02-2024,low,Pune,organic,42,female
C00122,17-05-2025,medium,Pune,organic,29,other
C00123,10-02-2025,medium,Jaipur,referral,27,male
C00124,27-07-2025,low,Hyderabad,organic,31,female
C00125,28-12-2025,high,Kolkata,organic,31,female
C00126,08-04-2024,low,Bhubaneswar,organic,27,male
C00127,14-11-2025,low,Mumbai,referral,35,female
C00128,26-12-2025,medium,Mumbai,ads,29,male
C00129,30-06-2025,medium,Mumbai,referral,36,female
C00130,04-09-2025,medium,Bangalore,referral,20,female
C00131,06-04-2025,medium,Hyderabad,ads,32,female
C00132,04-10-2025,medium,Delhi,organic,24,male
C00133,05-01-2024,low,Mumbai,organic,28,female
C00134,05-08-2024,low,Jaipur,organic,36,other
C00135,17-05-2025,low,Mumbai,ads,18,male
C00136,01-02-2025,high,Delhi,organic,26,female
C00137,27-01-2025,low,Bangalore,organic,40,male
C00138,25-07-2024,low,Jaipur,ads,20,male
C00139,15-01-2024,medium,Pune,ads,52,female
C00140,07-07-2025,high,Delhi,ads,47,female
C00141,05-04-2025,medium,Pune,organic,30,female
C00142,21-11-2025,low,Chennai,referral,27,male
C00143,28-07-2025,medium,Ahmedabad,ads,37,male
C00144,28-08-2024,low,Mumbai,organic,20,female
C00145,17-07-2025,medium,Delhi,ads,18,male
C00146,05-04-2024,low,Ahmedabad,referral,30,male
C00147,29-04-2025,high,Bhubaneswar,organic,33,female
C00148,10-02-2025,medium,Jaipur,organic,35,female
C00149,18-08-2024,medium,Hyderabad,ads,28,male
C00150,16-10-2025,high,Chennai,organic,47,male
C00151,19-06-2024,low,Bhubaneswar,referral,20,female
C00152,24-06-2025,medium,Bhubaneswar,organic,23,other
C00153,05-02-2024,medium,Chennai,ads,39,male
C00154,08-06-2025,medium,Pune,ads,23,female
C00155,08-06-2024,medium,Delhi,ads,22,male
C00156,29-11-2025,high,Kolkata,organic,36,female
C00157,30-08-2024,high,Mumbai,organic,24,male
C00158,26-03-2024,low,Jaipur,organic,33,female
C00159,31-07-2025,medium,Bangalore,organic,28,female
C00160,12-11-2025,low,Delhi,organic,26,female
C00161,10-07-2025,low,Mumbai,referral,18,female
C00162,27-07-2025,medium,Delhi,organic,36,male
C00163,07-10-2025,medium,Bhubaneswar,ads,22,female
C00164,28-01-2024,medium,Kolkata,ads,33,male
C00165,11-09-2025,low,Bangalore,ads,29,male
C00166,09-07-2025,low,Delhi,referral,32,male
C00167,05-12-2024,medium,Mumbai,organic,33,female
C00168,26-11-2024,low,Bangalore,referral,36,male
C00169,01-10-2025,high,Bangalore,ads,27,female
C00170,20-05-2025,low,Hyderabad,referral,47,female
C00171,13-12-2024,low,Jaipur,ads,18,female
C00172,17-04-2025,high,Bhubaneswar,ads,32,female
C00173,18-08-2024,medium,Hyderabad,organic,43,male
C00174,08-07-2024,high,Mumbai,organic,39,male
C00175,12-08-2024,medium,Mumbai,ads,25,female
C00176,19-01-2025,low,Pune,referral,26,male
C00177,11-01-2025,medium,Delhi,ads,24,male
C00178,09-10-2024,high,Delhi,organic,40,male
C00179,24-09-2025,medium,Pune,referral,27,male
C00180,19-09-2025,low,Ahmedabad,ads,37,female
C00181,15-09-2024,medium,Chennai,organic,37,male
C00182,24-12-2024,medium,Delhi,organic,58,female
C00183,10-12-2025,high,Chennai,organic,38,male
C00184,31-03-2025,low,Delhi,referral,26,female
C00185,14-02-2025,low,Jaipur,referral,20,female
C00186,10-10-2025,medium,Ahmedabad,organic,32,female
C00187,13-11-2024,high,Kolkata,organic,33,male
C00188,07-11-2025,high,Ahmedabad,ads,18,male
C00189,12-08-2024,high,Mumbai,referral,27,female
C00190,21-08-2024,medium,Pune,ads,37,male
C00191,14-11-2025,low,Mumbai,ads,29,male
C00192,25-10-2025,medium,Kolkata,organic,44,female
C00193,08-01-2025,low,Hyderabad,ads,19,other
C00194,02-11-2025,medium,Mumbai,organic,41,female
C00195,30-08-2025,low,Mumbai,referral,44,other
C00196,16-04-2025,low,Mumbai,organic,44,female
C00197,20-08-2024,high,Bangalore,referral,19,female
C00198,22-11-2025,medium,Chennai,organic,38,male
C00199,22-04-2024,medium,Ahmedabad,referral,28,female
C00200,11-05-2025,high,Hyderabad,organic,20,female
C00201,17-03-2025,medium,Ahmedabad,ads,30,male
C00202,17-07-2025,medium,Jaipur,ads,25,female
C00203,24-09-2024,low,Chennai,organic,44,male
C00204,24-05-2025,medium,Hyderabad,referral,40,female
C00205,20-01-2025,low,Jaipur,ads,23,female
C00206,21-01-2025,medium,Bhubaneswar,ads,27,male
C00207,22-04-2024,low,Bangalore,referral,31,male
C00208,04-09-2025,medium,Mumbai,referral,34,other
C00209,16-09-2025,low,Bangalore,ads,45,female
C00210,21-03-2024,medium,Ahmedabad,referral,41,male
C00211,29-11-2025,medium,Hyderabad,organic,35,female
C00212,22-04-2024,medium,Jaipur,organic,32,male
C00213,02-01-2024,medium,Kolkata,ads,18,male
C00214,03-10-2025,high,Jaipur,organic,47,female
C00215,07-08-2024,high,Bangalore,ads,30,female
C00216,19-07-2025,high,Mumbai,organic,50,male
C00217,12-08-2024,low,Kolkata,ads,36,female
C00218,19-01-2025,medium,Ahmedabad,referral,55,male
C00219,06-02-2025,medium,Kolkata,ads,41,female
C00220,29-09-2025,low,Chennai,referral,20,male
C00221,09-05-2024,medium,Bhubaneswar,ads,28,male
C00222,22-02-2024,medium,Mumbai,organic,33,male
C00223,14-11-2025,high,Bangalore,organic,26,male
C00224,30-12-2025,low,Hyderabad,organic,31,male
C00225,02-11-2025,low,Pune,referral,21,male
C00226,10-12-2025,low,Kolkata,organic,35,female
C00227,19-02-2025,medium,Delhi,organic,37,male
C00228,03-09-2024,low,Pune,referral,24,male
C00229,14-03-2025,high,Ahmedabad,ads,54,female
C00230,21-07-2024,high,Delhi,organic,35,male
C00231,02-07-2024,high,Delhi,organic,26,female
C00232,02-05-2024,medium,Delhi,referral,18,male
C00233,04-02-2025,medium,Jaipur,referral,35,male
C00234,20-10-2024,medium,Pune,organic,32,male
C00235,06-10-2024,high,Ahmedabad,ads,42,male
C00236,01-09-2025,medium,Bangalore,referral,33,female
C00237,16-07-2024,low,Bhubaneswar,ads,23,male
C00238,25-05-2025,medium,Ahmedabad,referral,51,female
C00239,23-05-2024,low,Bangalore,ads,39,female
C00240,31-08-2025,medium,Bangalore,referral,32,male
C00241,19-07-2024,low,Delhi,organic,36,female
C00242,03-05-2024,medium,Mumbai,organic,39,male
C00243,05-07-2024,medium,Pune,ads,20,female
C00244,21-11-2024,medium,Bangalore,ads,36,female
C00245,08-04-2025,medium,Pune,referral,30,male
C00246,14-12-2024,low,Chennai,organic,40,female
C00247,21-10-2025,medium,Jaipur,referral,27,male
C00248,06-02-2025,medium,Bhubaneswar,organic,28,male
C00249,11-12-2024,low,Chennai,ads,51,male
C00250,25-05-2025,medium,Bangalore,organic,47,other
C00251,26-05-2024,medium,Ahmedabad,ads,18,male
C00252,27-05-2024,medium,Pune,ads,46,male
C00253,11-12-2025,medium,Chennai,organic,34,male
C00254,03-05-2025,medium,Pune,organic,27,male
C00255,01-10-2025,medium,Jaipur,ads,24,male
C00256,04-07-2025,low,Ahmedabad,referral,25,male
C00257,03-12-2024,medium,Chennai,organic,28,male
C00258,02-10-2025,medium,Pune,organic,23,male
C00259,17-04-2025,medium,Ahmedabad,organic,21,female
C00260,30-05-2024,low,Delhi,referral,24,female
C00261,18-02-2025,low,Kolkata,organic,38,male
C00262,24-10-2024,medium,Delhi,organic,35,female
C00263,02-09-2025,low,Bhubaneswar,ads,40,male
C00264,19-09-2024,medium,Bangalore,ads,34,female
C00265,23-05-2024,medium,Mumbai,organic,21,male
C00266,11-12-2024,high,Kolkata,referral,39,female
C00267,15-09-2025,medium,Bangalore,ads,24,female
C00268,25-07-2025,medium,Chennai,ads,41,female
C00269,02-01-2024,low,Bhubaneswar,organic,23,female
C00270,30-10-2024,medium,Jaipur,referral,28,female
C00271,10-09-2024,low,Bhubaneswar,organic,31,male
C00272,13-10-2025,medium,Pune,organic,41,female
C00273,28-03-2025,medium,Bhubaneswar,organic,36,male
C00274,06-02-2024,medium,Chennai,ads,35,male
C00275,08-06-2024,high,Jaipur,ads,53,male
C00276,09-01-2024,medium,Jaipur,ads,18,female
C00277,20-08-2024,high,Hyderabad,organic,24,male
C00278,08-04-2024,medium,Bhubaneswar,ads,24,female
C00279,20-10-2025,medium,Delhi,ads,18,female
C00280,26-07-2024,low,Hyderabad,organic,27,male
C00281,10-05-2024,medium,Hyderabad,referral,41,male
C00282,07-02-2025,high,Chennai,organic,29,other
C00283,31-05-2024,medium,Kolkata,ads,31,female
C00284,23-02-2024,low,Delhi,organic,18,male
C00285,29-04-2024,low,Jaipur,ads,27,male
C00286,03-11-2025,medium,Bhubaneswar,referral,30,male
C00287,19-09-2025,medium,Hyderabad,referral,41,male
C00288,09-08-2025,high,Bangalore,organic,18,male
C00289,16-09-2025,low,Bangalore,ads,30,female
C00290,23-02-2025,medium,Hyderabad,organic,45,female
C00291,25-02-2025,medium,Pune,referral,30,female
C00292,13-04-2024,medium,Bhubaneswar,ads,18,male
C00293,10-09-2024,high,Chennai,organic,47,male
C00294,14-08-2024,low,Jaipur,organic,42,female
C00295,21-04-2024,high,Hyderabad,referral,43,female
C00296,24-05-2025,medium,Delhi,ads,18,male
C00297,17-04-2025,medium,Hyderabad,organic,50,female
C00298,08-04-2024,low,Ahmedabad,organic,27,female
C00299,01-06-2024,low,Jaipur,organic,29,female
C00300,03-12-2024,medium,Kolkata,ads,27,female
C00301,06-12-2025,medium,Jaipur,referral,44,female
C00302,11-06-2024,low,Delhi,referral,33,male
C00303,20-12-2025,high,Ahmedabad,ads,39,female
C00304,11-11-2025,medium,Kolkata,referral,35,male
C00305,09-06-2024,medium,Mumbai,ads,34,male
C00306,02-08-2025,low,Delhi,organic,25,male
C00307,01-02-2025,medium,Bangalore,referral,53,male
C00308,03-10-2024,low,Pune,organic,20,other
C00309,18-05-2025,medium,Jaipur,organic,39,male
C00310,26-01-2025,medium,Mumbai,referral,38,female
C00311,14-05-2024,medium,Ahmedabad,organic,46,male
C00312,13-07-2024,medium,Mumbai,ads,48,male
C00313,04-02-2025,medium,Chennai,referral,33,female
C00314,01-10-2025,medium,Bhubaneswar,ads,40,male
C00315,02-02-2024,high,Jaipur,organic,52,female
C00316,18-11-2025,low,Bhubaneswar,organic,34,male
C00317,04-04-2025,low,Bangalore,organic,24,female
C00318,14-04-2025,medium,Mumbai,ads,31,male
C00319,09-01-2025,medium,Ahmedabad,ads,21,female
C00320,22-01-2024,high,Bangalore,ads,38,male
C00321,31-10-2025,medium,Bhubaneswar,ads,45,female
C00322,07-02-2024,low,Mumbai,ads,33,female
C00323,17-08-2024,high,Bangalore,ads,18,male
C00324,30-12-2024,high,Delhi,referral,45,male
C00325,16-07-2025,low,Hyderabad,organic,18,female
C00326,13-03-2025,medium,Pune,referral,19,female
C00327,09-10-2024,high,Kolkata,ads,33,male
C00328,27-01-2024,medium,Delhi,organic,37,female
C00329,13-08-2024,medium,Bangalore,organic,39,female
C00330,03-10-2024,medium,Ahmedabad,organic,34,female
C00331,31-08-2025,low,Chennai,ads,52,other
C00332,10-10-2024,low,Hyderabad,organic,35,female
C00333,25-04-2025,medium,Kolkata,referral,45,female
C00334,28-03-2025,low,Delhi,ads,42,female
C00335,20-10-2025,medium,Chennai,referral,22,male
C00336,30-05-2025,low,Chennai,organic,33,female
C00337,30-06-2025,medium,Chennai,organic,56,female
C00338,10-07-2024,low,Hyderabad,organic,29,female
C00339,18-02-2024,low,Mumbai,organic,28,male
C00340,26-05-2025,high,Delhi,referral,36,male
C00341,17-01-2024,low,Mumbai,organic,30,female
C00342,20-06-2024,low,Jaipur,ads,27,female
C00343,07-08-2024,low,Hyderabad,organic,30,male
C00344,06-06-2024,medium,Chennai,ads,49,male
C00345,21-04-2025,low,Chennai,referral,33,female
C00346,15-02-2024,low,Hyderabad,ads,21,female
C00347,07-01-2025,medium,Jaipur,ads,19,female
C00348,01-06-2025,low,Pune,organic,57,female
C00349,08-04-2024,high,Ahmedabad,referral,32,male
C00350,06-02-2024,high,Pune,ads,39,female
C00351,06-10-2024,medium,Mumbai,ads,27,female
C00352,14-12-2024,medium,Hyderabad,ads,38,female
C00353,11-05-2025,medium,Ahmedabad,referral,49,male
C00354,28-10-2024,high,Pune,ads,28,male
C00355,29-06-2024,low,Mumbai,ads,39,female
C00356,29-08-2025,high,Bangalore,ads,20,female
C00357,08-04-2024,high,Bhubaneswar,organic,55,female
C00358,30-11-2025,high,Ahmedabad,ads,37,female
C00359,25-04-2024,medium,Kolkata,ads,30,male
C00360,09-07-2024,low,Ahmedabad,ads,32,female
C00361,09-09-2024,medium,Mumbai,ads,29,female
C00362,09-06-2024,low,Chennai,organic,30,female
C00363,12-09-2024,high,Mumbai,ads,18,female
C00364,18-11-2024,medium,Delhi,referral,34,male
C00365,07-05-2024,medium,Chennai,referral,33,female
C00366,18-01-2024,medium,Mumbai,organic,39,male
C00367,19-07-2025,high,Pune,ads,29,other
C00368,23-07-2025,medium,Bhubaneswar,referral,27,female
C00369,18-11-2024,medium,Mumbai,ads,34,female
C00370,16-11-2025,low,Pune,ads,18,other
C00371,17-09-2025,medium,Kolkata,referral,36,male
C00372,14-10-2024,high,Delhi,ads,18,male
C00373,24-10-2025,medium,Bangalore,ads,46,female
C00374,30-09-2025,high,Delhi,organic,41,male
C00375,03-06-2024,low,Chennai,organic,25,male
C00376,04-05-2025,medium,Bhubaneswar,organic,41,female
C00377,20-01-2025,high,Delhi,referral,36,female
C00378,13-04-2024,low,Ahmedabad,ads,24,male
C00379,27-01-2025,medium,Bangalore,ads,18,male
C00380,02-09-2024,high,Chennai,referral,38,male
C00381,24-06-2024,medium,Ahmedabad,ads,27,female
C00382,08-02-2024,medium,Chennai,ads,45,male
C00383,21-04-2025,low,Ahmedabad,organic,35,female
C00384,12-11-2025,low,Jaipur,referral,28,female
C00385,21-06-2025,low,Bhubaneswar,organic,52,male
C00386,11-02-2025,medium,Pune,organic,40,male
C00387,08-06-2025,medium,Delhi,organic,18,female
C00388,20-05-2025,low,Kolkata,organic,30,male
C00389,05-02-2024,high,Ahmedabad,organic,21,female
C00390,15-11-2025,medium,Jaipur,ads,27,female
C00391,20-01-2024,medium,Bhubaneswar,organic,33,male
C00392,16-11-2024,high,Kolkata,ads,38,male
C00393,26-05-2025,medium,Delhi,organic,37,female
C00394,03-02-2025,low,Jaipur,organic,45,male
C00395,15-10-2025,low,Kolkata,ads,41,male
C00396,15-04-2025,high,Bangalore,referral,40,male
C00397,22-05-2024,high,Hyderabad,referral,37,female
C00398,01-04-2024,medium,Chennai,referral,47,female
C00399,19-12-2024,low,Chennai,ads,31,male
C00400,27-12-2025,high,Mumbai,ads,32,female
C00401,20-02-2024,low,Bangalore,ads,18,male
C00402,26-10-2025,high,Hyderabad,ads,45,female
C00403,28-11-2025,medium,Mumbai,organic,34,male
C00404,28-07-2025,medium,Kolkata,ads,64,male
C00405,08-07-2024,low,Mumbai,organic,30,female
C00406,04-05-2024,medium,Ahmedabad,ads,35,male
C00407,29-05-2024,medium,Bangalore,ads,40,male
C00408,09-11-2024,medium,Jaipur,organic,23,female
C00409,23-07-2025,low,Jaipur,organic,38,female
C00410,07-12-2024,low,Hyderabad,organic,35,female
C00411,31-10-2024,high,Delhi,referral,31,female
C00412,22-11-2025,low,Jaipur,organic,46,female
C00413,12-11-2025,medium,Bangalore,organic,25,male
C00414,23-02-2024,high,Bhubaneswar,referral,37,male
C00415,19-03-2025,medium,Chennai,ads,49,male
C00416,04-09-2025,high,Bhubaneswar,organic,27,male
C00417,20-09-2024,low,Mumbai,organic,32,female
C00418,22-02-2024,low,Pune,organic,58,male
C00419,25-07-2025,high,Ahmedabad,organic,39,male
C00420,11-09-2025,medium,Pune,organic,29,male
C00421,05-01-2024,low,Bangalore,ads,43,male
C00422,12-04-2024,low,Pune,referral,29,female
C00423,14-07-2024,medium,Bhubaneswar,ads,19,male
C00424,15-12-2024,low,Delhi,ads,48,male
C00425,16-02-2024,medium,Bangalore,organic,23,other
C00426,17-10-2025,medium,Chennai,organic,59,female
C00427,25-09-2024,low,Hyderabad,referral,30,female
C00428,04-01-2025,medium,Bangalore,organic,56,female
C00429,27-09-2025,medium,Kolkata,referral,21,female
C00430,15-04-2024,medium,Chennai,ads,45,male
C00431,31-10-2025,low,Bangalore,referral,39,male
C00432,20-10-2025,low,Kolkata,organic,43,female
C00433,18-10-2025,medium,Chennai,organic,44,male
C00434,29-04-2024,medium,Mumbai,ads,30,male
C00435,26-08-2025,medium,Jaipur,ads,21,male
C00436,27-02-2024,medium,Ahmedabad,organic,34,male
C00437,11-12-2024,medium,Jaipur,referral,37,female
C00438,18-04-2025,low,Bhubaneswar,organic,30,male
C00439,26-04-2024,medium,Hyderabad,organic,37,male
C00440,06-05-2024,medium,Jaipur,ads,38,female
C00441,27-01-2025,high,Bangalore,ads,25,female
C00442,02-10-2025,medium,Mumbai,referral,38,female
C00443,27-02-2024,low,Pune,ads,32,male
C00444,25-09-2025,medium,Bhubaneswar,organic,28,male
C00445,27-05-2025,high,Jaipur,ads,42,female
C00446,05-04-2024,medium,Delhi,organic,27,male
C00447,29-09-2025,medium,Hyderabad,ads,30,male
C00448,27-04-2024,high,Pune,ads,35,female
C00449,13-07-2025,medium,Ahmedabad,organic,48,male
C00450,23-08-2025,medium,Bangalore,ads,36,male
C00451,02-05-2025,medium,Mumbai,ads,40,male
C00452,24-08-2024,medium,Chennai,ads,32,male
C00453,28-09-2024,medium,Jaipur,ads,34,male
C00454,07-07-2024,low,Delhi,organic,34,male
C00455,04-12-2025,medium,Hyderabad,organic,37,male
C00456,22-03-2025,medium,Ahmedabad,organic,32,male
C00457,03-08-2025,medium,Jaipur,organic,48,male
C00458,03-09-2024,medium,Ahmedabad,ads,31,female
C00459,16-03-2024,low,Pune,referral,18,female
C00460,02-06-2024,medium,Pune,ads,62,male
C00461,17-10-2025,low,Bhubaneswar,ads,31,other
C00462,10-03-2025,high,Jaipur,ads,48,female
C00463,26-03-2024,medium,Mumbai,organic,49,female
C00464,27-11-2025,low,Hyderabad,referral,44,male
C00465,11-10-2024,medium,Chennai,referral,33,female
C00466,07-08-2024,medium,Chennai,ads,37,female
C00467,09-03-2024,medium,Bangalore,organic,22,male
C00468,16-02-2024,low,Bangalore,ads,54,female
C00469,03-04-2024,high,Hyderabad,organic,26,female
C00470,28-03-2025,low,Jaipur,ads,32,male
C00471,22-07-2024,high,Jaipur,referral,35,male
C00472,05-08-2024,low,Pune,organic,33,male
C00473,18-04-2025,medium,Delhi,referral,28,male
C00474,07-03-2025,low,Bangalore,referral,48,male
C00475,06-12-2024,medium,Delhi,referral,44,female
C00476,04-07-2025,low,Jaipur,ads,38,female
C00477,03-09-2025,high,Bangalore,organic,31,female
C00478,15-10-2024,high,Chennai,ads,45,female
C00479,10-09-2024,medium,Ahmedabad,ads,30,male
C00480,22-12-2024,high,Bangalore,organic,50,male
C00481,23-01-2024,high,Jaipur,ads,36,female
C00482,05-06-2025,low,Jaipur,ads,47,male
C00483,09-04-2024,low,Ahmedabad,organic,33,female
C00484,28-06-2024,medium,Delhi,organic,35,male
C00485,10-08-2024,low,Hyderabad,organic,47,female
C00486,20-10-2025,medium,Ahmedabad,ads,56,male
C00487,17-03-2025,medium,Chennai,ads,50,male
C00488,30-08-2025,low,Jaipur,organic,43,female
C00489,20-11-2024,medium,Mumbai,referral,40,female
C00490,30-05-2025,low,Chennai,organic,29,male
C00491,16-01-2024,medium,Delhi,ads,37,female
C00492,01-12-2024,medium,Ahmedabad,ads,25,male
C00493,14-09-2024,high,Jaipur,ads,38,male
C00494,11-05-2025,high,Jaipur,organic,39,female
C00495,08-06-2024,high,Ahmedabad,referral,18,male
C00496,19-04-2025,low,Hyderabad,referral,35,female
C00497,25-10-2025,low,Ahmedabad,ads,39,female
C00498,20-11-2025,low,Bangalore,ads,34,male
C00499,05-11-2025,medium,Kolkata,organic,38,male
C00500,14-01-2025,medium,Hyderabad,ads,21,male
C00501,28-06-2025,high,Kolkata,ads,27,male
C00502,21-11-2025,medium,Delhi,ads,45,female
C00503,02-03-2025,medium,Pune,ads,35,male
C00504,04-09-2025,low,Chennai,ads,38,male
C00505,24-09-2024,medium,Bhubaneswar,organic,29,female
C00506,30-07-2025,high,Ahmedabad,organic,35,female
C00507,20-02-2025,high,Chennai,organic,18,female
C00508,16-06-2024,high,Bhubaneswar,organic,43,female
C00509,12-02-2024,medium,Delhi,ads,53,female
C00510,09-07-2025,low,Delhi,ads,24,female
C00511,11-10-2024,medium,Pune,ads,25,male
C00512,31-01-2025,low,Hyderabad,ads,39,female
C00513,12-01-2024,medium,Chennai,ads,49,male
C00514,29-08-2025,medium,Chennai,organic,34,other
C00515,28-10-2024,high,Ahmedabad,organic,22,male
C00516,09-09-2024,low,Delhi,organic,32,female
C00517,13-05-2025,low,Bhubaneswar,ads,24,female
C00518,04-02-2024,high,Mumbai,organic,28,female
C00519,27-12-2025,medium,Pune,organic,31,female
C00520,30-03-2024,medium,Hyderabad,ads,25,male
C00521,27-08-2025,medium,Jaipur,referral,27,female
C00522,24-08-2025,low,Mumbai,ads,35,male
C00523,21-02-2025,medium,Bangalore,ads,37,female
