customer_id,final_score,churn_prob,purchase_prob,expected_revenue,selected,customer_segment,engagement_segment,age,gender,location,acquisition_channel
C00091,25359.98236,2.21E-09,0.999975236,25359.98242,1,high,High Engagement,25,female,Ahmedabad,ads
C00092,25349.00489,2.10E-05,0.999935687,25349.5381,1,high,High Engagement,25,male,Delhi,ads
C00093,25317.28369,1.07E-08,0.999977408,25317.28396,1,high,High Engagement,32,male,Hyderabad,referral
C00094,25264.40997,0.000827933,0.9987937,25285.34453,1,medium,High Engagement,37,female,Bhubaneswar,organic
C00095,25254.74133,1.09E-06,0.999985332,25254.76875,1,low,High Engagement,39,male,Kolkata,ads
C00096,25245.51377,0.000623042,0.999572236,25261.25259,1,high,High Engagement,36,other,Mumbai,referral
C00097,25228.33647,7.16E-05,0.999924484,25230.1427,1,high,High Engagement,26,male,Mumbai,organic
C00098,25196.79286,1.54E-05,0.999015276,25197.17995,1,medium,High Engagement,30,male,Jaipur,organic
C00099,25188.39727,0.005583295,0.98799836,25329.82112,1,high,High Engagement,42,male,Delhi,organic
C00100,25033.15784,0.000858112,0.999488362,25054.65753,1,high,High Engagement,23,male,Chennai,ads
C00101,24987.72246,1.51E-06,0.999922029,24987.7601,1,high,High Engagement,30,female,Hyderabad,organic
C00102,24963.79669,6.17E-06,0.999956435,24963.95067,1,low,High Engagement,40,female,Kolkata,organic
C00103,24920.64971,0.000177088,0.999825499,24925.06365,1,low,High Engagement,43,male,Kolkata,ads
C00104,24908.161,2.46E-13,0.999999717,24908.161,1,medium,High Engagement,33,male,Chennai,ads
C00105,24882.23506,0.218976585,0.973984507,31858.50077,1,medium,High Engagement,30,male,Chennai,organic
C00106,24866.67559,0.001995646,0.996979649,24916.39989,1,medium,High Engagement,21,male,Ahmedabad,organic
C00107,24792.00075,1.05E-10,0.999999635,24792.00075,1,medium,High Engagement,40,female,Bhubaneswar,ads
C00108,24744.40107,0.001048054,0.998437012,24770.36175,1,medium,High Engagement,48,female,Ahmedabad,referral
C00109,24688.15178,0.416044731,0.699322019,42277.47068,1,medium,High Engagement,60,female,Bangalore,ads
C00110,24606.72629,1.25E-06,0.99995521,24606.75704,1,medium,High Engagement,38,other,Bangalore,ads
C00111,24580.60978,0.000149355,0.999185956,24584.28156,1,high,High Engagement,34,female,Delhi,organic
C00112,24509.9998,0.022256504,0.987008819,25067.92414,1,medium,High Engagement,25,female,Jaipur,organic
C00113,24504.42517,0.000893133,0.998854057,24526.33043,1,low,Medium Engagement,18,male,Hyderabad,ads
C00114,24380.02835,0.000131902,0.996986707,24383.24455,1,medium,High Engagement,36,female,Kolkata,referral
C00115,24213.38394,0.001500959,0.998159125,24249.78186,1,low,Medium Engagement,58,female,Bhubaneswar,ads
C00116,24194.14618,5.19E-05,0.999579665,24195.40128,1,low,High Engagement,47,male,Mumbai,referral
C00117,24176.33669,2.28E-05,0.999966875,24176.88735,1,high,High Engagement,46,female,Mumbai,referral
C00118,24154.07299,0.000847745,0.999052581,24174.56685,1,medium,High Engagement,37,other,Pune,organic
C00119,24078.79664,3.55E-05,0.999862554,24079.65085,1,medium,High Engagement,38,female,Chennai,organic
C00120,24052.42132,0.024644645,0.993957086,24660.16226,1,low,High Engagement,18,male,Delhi,organic
C00121,24003.81496,5.99E-07,0.999989468,24003.82933,1,low,Low Engagement,42,female,Pune,organic
C00122,23979.05266,0.01369452,0.994721808,24311.99373,1,medium,High Engagement,29,other,Pune,organic
C00123,23947.00702,2.01E-06,0.999992608,23947.05515,1,medium,High Engagement,27,male,Jaipur,referral
C00125,23927.25332,1.02E-05,0.999929117,23927.49668,1,high,High Engagement,31,female,Kolkata,organic
C00126,23911.25294,0.099807766,0.984794569,26562.38529,1,low,High Engagement,27,male,Bhubaneswar,organic
C00127,23803.45374,5.74E-08,0.999991248,23803.45511,1,low,Medium Engagement,35,female,Mumbai,referral
C00128,23775.90082,3.25E-07,0.999748759,23775.90855,1,medium,High Engagement,29,male,Mumbai,ads
C00129,23668.23943,4.09E-05,0.999861763,23669.20759,1,medium,High Engagement,36,female,Mumbai,referral
C00130,23653.05207,0.00109577,0.999523459,23678.99879,1,medium,High Engagement,20,female,Bangalore,referral
C00131,23563.77746,1.58E-11,0.999999591,23563.77746,1,medium,High Engagement,32,female,Hyderabad,ads
C00132,23471.26159,5.51E-07,0.999794627,23471.27453,1,medium,High Engagement,24,male,Delhi,organic
C00133,23397.34547,0.000675838,0.999517672,23413.16899,1,low,High Engagement,28,female,Mumbai,organic
C00134,23385.41038,2.07E-16,1,23385.41038,1,low,High Engagement,36,other,Jaipur,organic
C00135,23378.63541,0.00023874,0.998709691,23384.21816,1,low,Medium Engagement,18,male,Mumbai,ads
C00136,23285.97835,3.50E-11,0.999998617,23285.97835,1,high,High Engagement,26,female,Delhi,organic
C00137,23281.23923,0.000203824,0.999707269,23285.98547,1,low,Low Engagement,40,male,Bangalore,organic
C00138,23227.22424,9.39E-06,0.999908763,23227.44226,1,low,High Engagement,20,male,Jaipur,ads
C00139,23209.10689,6.65E-15,0.999999952,23209.10689,1,medium,High Engagement,52,female,Pune,ads
C00140,23181.44494,1.09E-18,1,23181.44494,1,high,High Engagement,47,female,Delhi,ads
C00141,23176.10314,3.78E-16,0.99999998,23176.10314,1,medium,High Engagement,30,female,Pune,organic
C00142,23006.41279,0.145669001,0.982350374,26929.15606,1,low,Medium Engagement,27,male,Chennai,referral
C00143,22996.65742,1.54E-06,0.99996155,22996.69277,1,medium,High Engagement,37,male,Ahmedabad,ads
C00144,22992.41365,0.000298782,0.999700114,22999.28543,1,low,Medium Engagement,20,female,Mumbai,organic
C00145,22960.49787,1.72E-19,0.999999999,22960.49787,1,medium,High Engagement,18,male,Delhi,ads
C00146,22936.20305,5.41E-13,0.999999968,22936.20305,1,low,High Engagement,30,male,Ahmedabad,referral
C00147,22924.50999,0.002342763,0.996713679,22978.3428,1,high,High Engagement,33,female,Bhubaneswar,organic
C00148,22911.42212,0.018189921,0.991635075,23335.90031,1,medium,High Engagement,35,female,Jaipur,organic
C00149,22878.30888,0.064654293,0.975489627,24459.73581,1,medium,High Engagement,28,male,Hyderabad,ads
C00150,22870.28325,0.000826604,0.999417033,22889.20356,1,high,High Engagement,47,male,Chennai,organic
C00151,22852.29354,4.45E-15,0.999999978,22852.29354,1,low,Medium Engagement,20,female,Bhubaneswar,referral
C00152,22835.09629,0.009878067,0.993045503,23062.9133,1,medium,High Engagement,23,other,Bhubaneswar,organic
C00153,22791.9798,1.68E-07,0.999995099,22791.98362,1,medium,High Engagement,39,male,Chennai,ads
C00154,22786.66512,1.38E-13,0.999999896,22786.66512,1,medium,High Engagement,23,female,Pune,ads
C00155,22782.55091,3.88E-06,0.999943903,22782.63929,1,medium,High Engagement,22,male,Delhi,ads
C00156,22745.3469,3.06E-05,0.999882001,22746.04187,1,high,High Engagement,36,female,Kolkata,organic
C00157,22703.3065,3.24E-13,0.99999984,22703.3065,1,high,High Engagement,24,male,Mumbai,organic
C00159,22699.58111,0.006183992,0.998516754,22840.82861,1,medium,High Engagement,28,female,Bangalore,organic
C00160,22692.366,3.05E-14,0.999999958,22692.366,1,low,Medium Engagement,26,female,Delhi,organic
C00161,22684.2329,2.17E-22,1,22684.2329,1,low,High Engagement,18,female,Mumbai,referral
C00162,22649.3299,5.31E-08,0.999641132,22649.3311,1,medium,High Engagement,36,male,Delhi,organic
C00163,22639.84538,0.245921558,0.76874163,30023.19669,1,medium,High Engagement,22,female,Bhubaneswar,ads
C00164,22604.85229,0.281933703,0.732589107,31480.17444,1,medium,High Engagement,33,male,Kolkata,ads
C00165,22603.73704,0.001513979,0.99799427,22638.01051,1,low,Medium Engagement,29,male,Bangalore,ads
C00166,22601.57778,0.010224056,0.991228741,22835.04455,1,low,High Engagement,32,male,Delhi,referral
C00167,22552.85098,0.001997599,0.998189702,22597.99271,1,medium,High Engagement,33,female,Mumbai,organic
C00168,22528.71308,0.000156417,0.997628002,22532.2375,1,low,Medium Engagement,36,male,Bangalore,referral
C00169,22506.21648,4.58E-05,0.999848267,22507.24807,1,high,High Engagement,27,female,Bangalore,ads
C00170,22477.84352,8.87E-06,0.999899413,22478.04295,1,low,Low Engagement,47,female,Hyderabad,referral
C00171,22449.15574,0.252746006,0.856718916,30042.2024,1,low,Medium Engagement,18,female,Jaipur,ads
C00172,22436.59139,0.001239527,0.995787679,22464.43667,1,high,High Engagement,32,female,Bhubaneswar,ads
C00173,22384.00685,3.46E-07,0.999979642,22384.0146,1,medium,High Engagement,43,male,Hyderabad,organic
C00174,22381.19961,0.000609921,0.99924409,22394.8587,1,high,High Engagement,39,male,Mumbai,organic
C00175,22378.74601,0.000109719,0.999835558,22381.20166,1,medium,High Engagement,25,female,Mumbai,ads
C00176,22376.30762,1.12E-06,0.999970376,22376.33276,1,low,Medium Engagement,26,male,Pune,referral
C00177,22340.78622,2.75E-06,0.999953741,22340.84769,1,medium,High Engagement,24,male,Delhi,ads
C00178,22339.27008,5.77E-07,0.999988288,22339.28298,1,high,High Engagement,40,male,Delhi,organic
C00179,22328.29324,1.66E-07,0.999932893,22328.29694,1,medium,High Engagement,27,male,Pune,referral
C00180,22315.57847,1.60E-12,0.999999939,22315.57847,1,low,High Engagement,37,female,Ahmedabad,ads
C00181,22293.35672,1.12E-19,0.999999999,22293.35672,1,medium,High Engagement,37,male,Chennai,organic
C00182,22278.85156,1.01E-15,0.999999996,22278.85156,1,medium,High Engagement,58,female,Delhi,organic
C00183,22272.25774,5.62E-07,0.999991619,22272.27027,1,high,High Engagement,38,male,Chennai,organic
C00184,22271.3752,5.10E-08,0.999987979,22271.37634,1,low,Low Engagement,26,female,Delhi,referral
C00185,22251.3543,1.50E-13,0.999999986,22251.3543,1,low,Medium Engagement,20,female,Jaipur,referral
C00186,22065.5616,6.10E-10,0.999990741,22065.56161,1,medium,High Engagement,32,female,Ahmedabad,organic
C00187,22039.94303,7.40E-16,0.999999994,22039.94303,1,high,High Engagement,33,male,Kolkata,organic
C00188,22038.61952,1.80E-05,0.999848218,22039.01709,1,high,High Engagement,18,male,Ahmedabad,ads
C00189,22016.46636,0.000572807,0.999463396,22029.08476,1,high,High Engagement,27,female,Mumbai,referral
C00190,22004.15094,1.83E-05,0.999834324,22004.55471,1,medium,High Engagement,37,male,Pune,ads
C00191,21959.23398,4.02E-07,0.999993281,21959.2428,1,low,Low Engagement,29,male,Mumbai,ads
C00192,21909.00407,5.00E-09,0.999976399,21909.00418,1,medium,High Engagement,44,female,Kolkata,organic
C00193,21904.73795,7.16E-06,0.999890447,21904.8948,1,low,High Engagement,19,other,Hyderabad,ads
C00194,21901.54328,4.25E-06,0.99998066,21901.63642,1,medium,High Engagement,41,female,Mumbai,organic
C00196,21877.28242,1.55E-13,0.999999942,21877.28242,1,low,Medium Engagement,44,female,Mumbai,organic
C00197,21857.70992,7.85E-06,0.999939908,21857.88144,1,high,High Engagement,19,female,Bangalore,referral
C00198,21849.96569,1.09E-08,0.999954377,21849.96593,1,medium,High Engagement,38,male,Chennai,organic
C00199,21836.42938,0.021831979,0.993593578,22323.80217,1,medium,High Engagement,28,female,Ahmedabad,referral
C00200,21825.76021,0.006959724,0.989370118,21978.72608,1,high,High Engagement,20,female,Hyderabad,organic
C00201,21742.52263,0.00073218,0.998467091,21758.45373,1,medium,High Engagement,30,male,Ahmedabad,ads
C00202,21695.1609,0.001234898,0.998920724,21721.98533,1,medium,High Engagement,25,female,Jaipur,ads
C00203,21674.17466,1.83E-18,0.999999998,21674.17466,1,low,Low Engagement,44,male,Chennai,organic
C00204,21622.25695,1.44E-06,0.99994389,21622.28813,1,medium,High Engagement,40,female,Hyderabad,referral
C00205,21590.83415,1.03E-07,0.999987528,21590.83638,1,low,Medium Engagement,23,female,Jaipur,ads
C00206,21574.4697,0.000201568,0.999620908,21578.81931,1,medium,High Engagement,27,male,Bhubaneswar,ads
C00207,21561.36992,7.45E-06,0.999806661,21561.53051,1,low,Medium Engagement,31,male,Bangalore,referral
C00208,21534.62132,2.38E-05,0.999454886,21535.13326,1,medium,High Engagement,34,other,Mumbai,referral
C00209,21510.62405,7.41E-07,0.999990202,21510.63999,1,low,Medium Engagement,45,female,Bangalore,ads
C00210,21496.41388,0.00138414,0.999494491,21526.20916,1,medium,High Engagement,41,male,Ahmedabad,referral
C00211,21491.50908,4.90E-08,0.999907399,21491.51014,1,medium,High Engagement,35,female,Hyderabad,organic
C00212,21486.55576,0.003765492,0.995500846,21567.76902,1,medium,High Engagement,32,male,Jaipur,organic
C00213,21475.79443,0.001851112,0.998275077,21515.62226,1,medium,High Engagement,18,male,Kolkata,ads
C00214,21409.42576,3.09E-06,0.999962921,21409.4919,1,high,High Engagement,47,female,Jaipur,organic
C00215,21402.89314,0.00048842,0.998861192,21413.35184,1,high,High Engagement,30,female,Bangalore,ads
C00216,21399.27967,9.12E-05,0.998901913,21401.23232,1,high,High Engagement,50,male,Mumbai,organic
C00217,21360.24415,0.000614633,0.998519855,21373.38093,1,low,Medium Engagement,36,female,Kolkata,ads
C00218,21354.93027,3.18E-05,0.999875463,21355.60912,1,medium,High Engagement,55,male,Ahmedabad,referral
C00219,21313.76094,6.29E-06,0.999861243,21313.89493,1,medium,High Engagement,41,female,Kolkata,ads
C00220,21294.49377,7.50E-08,0.99998929,21294.49537,1,low,Medium Engagement,20,male,Chennai,referral
C00221,21288.18437,7.19E-08,0.999984763,21288.1859,1,medium,High Engagement,28,male,Bhubaneswar,ads
C00222,21265.87148,3.93E-05,0.999872874,21266.70778,1,medium,High Engagement,33,male,Mumbai,organic
C00223,21253.42924,0.000827943,0.998852506,21271.04044,1,high,High Engagement,26,male,Bangalore,organic
C00224,21245.80846,2.67E-07,0.999994579,21245.81414,1,low,Low Engagement,31,male,Hyderabad,organic
C00225,21244.22331,3.30E-05,0.999815248,21244.9247,1,low,Medium Engagement,21,male,Pune,referral
C00226,21223.47532,0.036424293,0.989372973,22025.74761,1,low,Medium Engagement,35,female,Kolkata,organic
C00227,21206.46237,0.000245443,0.999748352,21211.66863,1,medium,High Engagement,37,male,Delhi,organic
C00228,21197.23476,2.25E-05,0.998324268,21197.71128,1,low,High Engagement,24,male,Pune,referral
C00229,21179.47129,2.59E-05,0.999964438,21180.01888,1,high,High Engagement,54,female,Ahmedabad,ads
C00230,21170.73965,2.54E-06,0.99998276,21170.79347,1,high,High Engagement,35,male,Delhi,organic
C00231,21157.10839,0.004297345,0.99514689,21248.42019,1,high,High Engagement,26,female,Delhi,organic
C00232,21153.85949,5.98E-06,0.99997038,21153.98589,1,medium,High Engagement,18,male,Delhi,referral
C00233,21119.64109,3.92E-06,0.999599247,21119.72385,1,medium,High Engagement,35,male,Jaipur,referral
C00234,21092.24806,5.90E-07,0.999958702,21092.26051,1,medium,High Engagement,32,male,Pune,organic
C00235,21079.96325,2.35E-07,0.999983929,21079.9682,1,high,High Engagement,42,male,Ahmedabad,ads
C00236,21079.19078,0.000523037,0.999837988,21090.22174,1,medium,High Engagement,33,female,Bangalore,referral
C00237,20958.98164,4.94E-05,0.99988217,20960.0161,1,low,Medium Engagement,23,male,Bhubaneswar,ads
C00238,20952.10444,9.75E-06,0.998497055,20952.30877,1,medium,High Engagement,51,female,Ahmedabad,referral
C00240,20935.91706,7.45E-05,0.999734372,20937.47638,1,medium,High Engagement,32,male,Bangalore,referral
C00242,20905.75702,7.09E-15,0.999999993,20905.75702,1,medium,High Engagement,39,male,Mumbai,organic
C00243,20873.77544,0.000573003,0.995775645,20885.74304,1,medium,High Engagement,20,female,Pune,ads
C00244,20833.90298,0.000401565,0.999711367,20842.2725,1,medium,High Engagement,36,female,Bangalore,ads
C00245,20813.51005,0.018328399,0.993925973,21202.1108,1,medium,High Engagement,30,male,Pune,referral
C00246,20809.89199,0.009663071,0.982663164,21012.94155,1,low,High Engagement,40,female,Chennai,organic
C00247,20782.67226,1.11E-08,0.999986352,20782.67249,1,medium,High Engagement,27,male,Jaipur,referral
C00248,20761.0322,1.06E-14,0.999999987,20761.0322,1,medium,High Engagement,28,male,Bhubaneswar,organic
C00249,20735.99281,0.000807842,0.998126842,20752.75775,1,low,Medium Engagement,51,male,Chennai,ads
C00250,20707.20891,9.51E-07,0.99995454,20707.2286,1,medium,High Engagement,47,other,Bangalore,organic
C00251,20705.21235,6.19E-06,0.99995144,20705.34059,1,medium,High Engagement,18,male,Ahmedabad,ads
C00252,20675.51566,7.96E-06,0.999080917,20675.6802,1,medium,High Engagement,46,male,Pune,ads
C00253,20664.88763,0.000728428,0.998667431,20679.95149,1,medium,High Engagement,34,male,Chennai,organic
C00254,20660.54872,0.001683676,0.996232427,20695.39305,1,medium,High Engagement,27,male,Pune,organic
C00255,20656.3345,3.91E-11,0.999999077,20656.3345,1,medium,High Engagement,24,male,Jaipur,ads
C00256,20629.16212,4.53E-06,0.999982656,20629.25567,1,low,Medium Engagement,25,male,Ahmedabad,referral
C00257,20628.57976,3.49E-14,0.999999911,20628.57976,1,medium,High Engagement,28,male,Chennai,organic
C00258,20611.06436,0.001134386,0.998233908,20634.47181,1,medium,High Engagement,23,male,Pune,organic
C00259,20606.4797,0.001098235,0.992093362,20629.13534,1,medium,High Engagement,21,female,Ahmedabad,organic
C00261,20550.32906,1.11E-06,0.999980225,20550.35195,1,low,Medium Engagement,38,male,Kolkata,organic
C00262,20535.85695,4.15E-10,0.999993657,20535.85696,1,medium,High Engagement,35,female,Delhi,organic
C00263,20516.30074,0.266300504,0.764266,27962.81156,1,low,Medium Engagement,40,male,Bhubaneswar,ads
C00264,20510.51647,9.70E-06,0.999300387,20510.71539,1,medium,High Engagement,34,female,Bangalore,ads
C00265,20483.78301,0.022411497,0.986151636,20953.37961,1,medium,High Engagement,21,male,Mumbai,organic
C00266,20476.73588,0.049938634,0.98637761,21553.0666,1,high,High Engagement,39,female,Kolkata,referral
C00267,20443.28863,0.000472251,0.989854841,20452.94755,1,medium,High Engagement,24,female,Bangalore,ads
C00268,20388.38673,1.89E-12,0.999999708,20388.38673,1,medium,High Engagement,41,female,Chennai,ads
C00269,20387.55064,1.69E-10,0.999993432,20387.55065,1,low,High Engagement,23,female,Bhubaneswar,organic
C00270,20380.00813,1.17E-06,0.999973668,20380.03196,1,medium,High Engagement,28,female,Jaipur,referral
C00271,20378.84514,1.73E-17,0.999999999,20378.84514,1,low,High Engagement,31,male,Bhubaneswar,organic
C00272,20361.639,0.000339381,0.999770791,20368.55171,1,medium,High Engagement,41,female,Pune,organic
